feature,importance
home_points_pct,0.2575
away_corsi_against_l10,0.145
away_points_pct,0.1075
away_shots_l10,0.06
home_fenwick_for_l10,0.05
home_fenwick_against_l10,0.05
home_fenwick_for_l3,0.0425
away_fenwick_for_l10,0.0425
away_corsi_for_l10,0.04
away_fenwick_against_l10,0.04
home_corsi_against_l10,0.0375
away_shots_l3,0.0375
home_corsi_against_l3,0.02
home_fenwick_against_l3,0.0175
away_fenwick_for_l3,0.015
home_corsi_for_l10,0.01
away_league_rank,0.005
h2h_away_avg_goals,0.005
home_corsi_for_l3,0.005
away_corsi_against_l3,0.005
home_shots_l10,0.005
away_corsi_for_l3,0.0025
home_implied_prob,0.0
home_season_save_pct,0.0
home_season_shooting_pct,0.0
playoff_matchup_preview,0.0
away_eliminated,0.0
away_bubble_team,0.0
away_in_playoff_spot,0.0
away_division_rival,0.0
home_season_pp_pct,0.0
away_implied_prob,0.0
home_bubble_team,0.0
home_in_playoff_spot,0.0
home_league_rank,0.0
home_favorite,0.0
h2h_away_avg_goals_against,0.0
line_movement,0.0
home_eliminated,0.0
home_season_pk_pct,0.0
home_season_faceoff_pct,0.0
h2h_away_win_pct_season,0.0
away_revenge_game,0.0
home_losing_streak,0.0
home_win_streak,0.0
away_conf_matchup,0.0
away_win_streak,0.0
away_losing_streak,0.0
home_conf_matchup,0.0
away_season_shooting_pct,0.0
home_division_rival,0.0
home_revenge_game,0.0
away_season_faceoff_pct,0.0
away_season_pk_pct,0.0
away_season_pp_pct,0.0
away_season_save_pct,0.0
h2h_away_win_pct_l5,0.0
away_well_rested,0.0
h2h_away_win_pct_all,0.0
h2h_games_count,0.0
home_3_in_4,0.0
home_back_to_back,0.0
home_days_rest,0.0
away_save_pct_l10,0.0
away_hd_chances_l10,0.0
away_goals_l10,0.0
away_save_pct_l3,0.0
away_hd_chances_l3,0.0
away_goals_l3,0.0
away_fenwick_against_l3,0.0
home_save_pct_l10,0.0
home_hd_chances_l10,0.0
home_goals_l10,0.0
home_save_pct_l3,0.0
home_hd_chances_l3,0.0
home_goals_l3,0.0
home_shots_l3,0.0
home_4_in_6,0.0
home_is_home,0.0
home_just_came_home,0.0
away_just_went_away,0.0
h2h_home_avg_goals_against,0.0
h2h_home_avg_goals,0.0
h2h_home_win_pct_l5,0.0
h2h_home_win_pct_season,0.0
h2h_home_win_pct_all,0.0
rest_advantage,0.0
away_back_to_backs_l10,0.0
away_just_came_home,0.0
home_just_went_away,0.0
away_is_away,0.0
away_4_in_6,0.0
away_3_in_4,0.0
away_back_to_back,0.0
away_days_rest,0.0
home_well_rested,0.0
home_back_to_backs_l10,0.0
market_confidence,0.0
